GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bai7-comprehensive,com.example,OrderProcessor,0,97,0,20,0,22,0,12,0,2
bai7-comprehensive,com.example,Item,3,12,0,0,1,5,1,2,1,2
